client_number,tickets_25_26,tickets_24_25,tickets_23_24,tickets_22_23,tickets_21_22,tickets_19_20,tickets_18_19,tickets_17_18,tickets_16_17,tickets_15_16,tickets_14_15
11163,0,1,1,1,1,1,1,1,1,1,1
11163,0,1,1,1,1,1,1,1,1,1,1
11163,0,1,1,1,1,1,1,1,1,1,1
11163,0,1,1,1,1,1,1,1,1,1,1
11163,0,1,1,1,1,1,1,1,1,1,1
11163,0,1,1,1,1,1,1,1,1,1,1
11163,0,1,1,1,1,1,1,1,1,1,1
11165,1,1,1,1,1,1,1,1,1,1,1
11166,1,1,1,1,1,1,1,1,1,1,0
11174,1,1,1,1,1,1,1,1,1,1,1
11175,1,1,1,1,1,1,1,1,1,1,1
11178,0,0,1,1,1,1,1,1,1,1,1
11181,1,1,1,1,1,1,1,1,1,1,1
11191,1,1,1,1,1,1,1,1,1,1,1
11196,0,1,1,1,1,1,1,1,1,1,1
11198,1,1,1,1,1,1,1,1,1,1,1
11199,0,1,1,1,1,1,1,1,1,1,1
11201,1,1,1,1,1,1,1,1,1,1,1
11203,0,0,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11208,1,1,1,1,1,1,1,1,1,1,1
11210,0,1,1,1,1,1,0,1,1,1,1
11210,0,1,1,1,1,1,0,1,1,1,1
11210,0,1,1,1,1,1,0,1,1,1,1
11213,0,1,1,1,1,1,1,1,1,1,1
11213,0,1,1,1,1,1,1,1,1,1,1
11213,0,1,1,1,1,1,1,1,1,1,1
11214,0,1,1,1,1,1,1,1,1,1,1
11214,0,1,1,1,1,1,1,1,1,1,1
11214,0,1,1,1,1,1,1,1,1,1,1
11214,0,1,1,1,1,1,1,1,1,1,1
11214,0,1,1,1,1,1,1,1,1,1,1
11217,0,1,1,1,1,1,1,1,1,1,1
11217,0,1,1,1,1,1,1,1,1,1,1
11217,0,1,1,1,1,1,1,1,1,1,1
11217,0,1,1,1,1,1,1,1,1,1,1
11217,0,1,1,1,1,1,1,1,1,1,1
11217,0,1,1,1,1,1,1,1,1,1,1
11219,1,1,1,1,1,1,1,1,1,1,1
11220,1,1,1,1,1,1,1,1,1,1,1
11232,0,1,1,1,1,1,1,1,1,1,1
11243,0,0,1,0,0,1,1,1,1,1,0
11245,0,0,1,1,1,1,1,1,1,1,1
11246,1,1,1,1,1,1,1,1,1,1,1
11247,1,1,1,1,1,1,1,1,1,1,1
11248,1,1,1,1,1,1,1,1,1,1,1
11253,1,1,1,1,1,1,1,1,1,1,1
11256,0,1,1,1,1,1,1,1,1,1,1
11261,1,1,1,1,1,1,1,1,1,1,1
11268,1,1,1,1,1,1,1,1,1,1,1
11268,1,1,1,1,1,1,1,1,1,1,1
11268,1,1,1,1,1,1,1,1,1,1,1
11268,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11273,1,1,1,1,1,1,1,1,1,1,1
11275,1,1,1,1,1,1,1,1,1,1,1
11277,0,0,1,1,1,1,1,1,1,1,1
11278,1,1,1,1,1,1,1,1,1,1,1
11281,0,0,1,1,1,1,1,1,1,0,1
11282,1,1,1,1,1,1,1,1,1,1,1
